#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
78,Paraguay,"823,491",,"20,069                                ",,N/A,N/A,N/A,N/A,"112,717","2,747","2,657,506","363,751","7,305,843 ",South America,,93643,,,"14,386",
79,Bahrain,"729,549",,"1,574                                ",,"727,915",,60,N/A,"408,944",882,"10,948,549","6,137,138","1,783,983 ",Asia,,"21,1330",,,34,
80,Sri Lanka,"672,718",,"16,891                                ",,"655,816",,11,,"31,179",783,"6,486,117","300,619","21,575,842 ",Asia,,"321,2773",,,0.5,
81,Dominican Republic,"670,627",,"4,384                                ",,"666,104",,139,4,"60,655",397,"3,740,928","338,350","11,056,370 ",North America,,"162,5223",,,13,
82,Kuwait,"666,586",,"2,570                                ",,N/A,N/A,N/A,,"152,177",587,"8,455,743","1,930,391","4,380,326 ",Asia,,"71,7041",,,863,
83,Cyprus,"660,854",,"1,364                                ",,"659,490",,0,,"540,184","1,115","9,640,118","7,879,860","1,223,387 ",Asia,,28970,,,,
84,Myanmar,"641,448",,"19,495                                ",,"620,159",,"1,794",,"11,615",353,"11,554,009","209,209","55,227,143 ",Asia,,"862,8335",,,32,
85,Moldova,"629,501",,"12,167                                ",,N/A,N/A,N/A,N/A,"156,859","3,032","3,216,305","801,437","4,013,171 ",Europe,,63301,,,"28,205",
86,Estonia,"626,331",,"3,001                                ",,N/A,N/A,N/A,N/A,"473,808","2,270","3,776,442","2,856,807","1,321,910 ",Europe,,24400,,,"74,392",
87,Palestine,"621,008",,"5,404                                ",,"615,445",,159,,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,30,
88,Venezuela,"552,695",,"5,856                                ",,"546,537",,302,31,"18,885",200,"3,359,014","114,771","29,266,991 ",South America,,"534,9989",,,10,
89,Egypt,"516,023",,"24,613                                ",,"442,182",,"49,228",122,"4,861",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,464,
90,Qatar,"514,524",,690                                ,,"513,687",,147,16,"172,664",232,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3191",,,49,
91,Libya,"507,274",,"6,437                                ",,"500,835",,2,,"72,048",914,"2,483,848","352,782","7,040,745 ",Africa,,"141,0943",,,0.3,
92,Ethiopia,"501,117",,"7,574                                ",,"488,171",,"5,372",,"4,148",63,"5,565,340","46,066","120,812,698 ",Africa,,"24115,95122",,,44,
93,Réunion,"494,595",,921                                ,,N/A,N/A,N/A,N/A,"544,672","1,014","1,603,660","1,766,027","908,061 ",Africa,,29861,,,"82,706",
94,Honduras,"474,590",,"11,165                                ",,N/A,N/A,N/A,N/A,"46,432","1,092","1,660,662","162,472","10,221,247 ",North America,,229156,,,"32,372",
95,Armenia,"451,353",,"8,776                                ",,"435,162",,"7,415",,"151,870","2,953","3,242,901","1,091,164","2,971,966 ",Asia,,73391,,,"2,495",
96,Bosnia and Herzegovina,"403,477",,"16,377                                ",,"379,084",,"8,016",,"124,173","5,040","1,884,721","580,036","3,249,317 ",Europe,,81982,,,"2,467",
97,Oman,"399,449",,"4,628                                ",,N/A,N/A,N/A,,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,1500",,,"1,907",
98,Luxembourg,"388,257",,"1,232                                ",,N/A,N/A,N/A,,"604,412","1,918","4,587,145","7,140,959","642,371 ",Europe,,25210,,,"109,493",
99,North Macedonia,"350,197",,"9,963                                ",,"337,068",,"3,166",,"168,258","4,787","2,226,216","1,069,626","2,081,304 ",Europe,,62091,,,"1,521",
100,Zambia,"349,304",,"4,069                                ",,"341,316",,"3,919",,"17,940",209,"4,112,961","211,244","19,470,234 ",Africa,,"564,7855",,,201,
101,Kenya,"344,130",,"5,689                                ",,"337,309",,"1,132",N/A,"6,122",101,"3,967,062","70,569","56,215,221 ",Africa,,"1639,88114",,,20,
102,Albania,"334,726",,"3,602                                ",,"329,428",,"1,696",,"116,777","1,257","1,941,032","677,173","2,866,374 ",Europe,,97961,,,592,
103,Brunei ,"330,776",,225                                ,,"243,601",,"86,950",3,"742,598",505,"717,784","1,611,437","445,431 ",Asia,,"11,9801",,,"195,204",
104,Botswana,"330,417",,"2,801                                ",,"327,049",,567,1,"135,352","1,147","2,026,898","830,300","2,441,162 ",Africa,,78721,,,232,
